# BEAST v1.8.4
# Generated Fri Mar 27 11:06:17 CST 2026 [seed=1774580776976]
# -overwrite -beagle_off D:\naturedna\evoflux-reproduce\figures\reproduced\pisca_zenodo_fig4\fig4b_case19_zenodo.xml
state	posterior	prior	likelihood	biallelicBinary.demethylation	biallelicBinary.homozygousDemethylation	biallelicBinary.homozygousMethylation	treeModel.rootHeight	luca_height	luca_branch	constant.popSize	clock.rate	coalescent
0	-2411.609390786637	-10.223979547133004	-2401.3854112395043	1.0	1.0	1.0	14.719070173329794	89.167009	74.4479388266702	1.0	0.02	-5.416374467321197
5000	-2352.4479316682696	-16.20210768292437	-2336.2458239853454	1.0	1.310401359074429	0.9499850092135723	14.399392857001843	89.167009	74.76761614299815	5.813992053751288	0.014978697522554466	-9.248951657336443
10000	-2352.953660025342	-16.042080160834495	-2336.9115798645075	1.079032349668566	1.258534566203817	0.9591877522718723	14.555798844577135	89.167009	74.61121015542285	4.322088702020219	0.015664906715325406	-9.332127710019483
15000	-2354.807932884967	-16.113639316585022	-2338.694293568382	0.974141929572169	1.2214133820523092	1.0431923452205616	14.55176908370858	89.167009	74.61523991629142	1.8159543364056783	0.013755187408169415	-10.386487486018947
20000	-2353.5872413876345	-15.132236531939173	-2338.4550048556953	0.9288191426793772	1.3127494850441075	0.8875419153791152	14.665865521921209	89.167009	74.50114347807879	2.823837961999354	0.015379988725563547	-9.082411708049753
25000	-2352.762583884511	-15.102247181625636	-2337.6603367028856	0.8596919683406861	1.066819935765462	0.857049007736489	14.392061047978435	89.167009	74.77494795202156	4.264969642102617	0.014088019329006331	-9.191737207505932
30000	-2356.724289317243	-16.37810011018281	-2340.34618920706	0.8687693586699783	1.2784058529646314	0.8465941178757582	14.707453216908366	89.167009	74.45955578309163	5.026661631353721	0.01365007767990172	-9.959562685459856
35000	-2353.3922814828165	-15.54891559293769	-2337.843365889879	0.8687693586699783	1.1244248096193363	0.8901866233028135	14.476421863509245	89.167009	74.69058713649075	3.777575414656659	0.014891466117150285	-9.605693333798861
40000	-2355.6612926165126	-16.18271198439199	-2339.4785806321206	0.8687693586699783	1.1689076927326456	0.8827695753989829	14.461532258422281	89.167009	74.70547674157771	5.596946137986154	0.01470257332467225	-9.784995213800888
45000	-2352.4638951767197	-15.144414895266715	-2337.319480281453	1.0010308638218977	1.1831357231962552	0.9175619886157	14.58042459859724	89.167009	74.58658440140275	1.959542700932887	0.016051742292934972	-9.527857427866289
50000	-2353.3995563433878	-15.86293428795876	-2337.536622055429	0.9377689187673971	1.1057199688859611	0.9389558957806234	14.486179585266285	89.167009	74.68082941473371	5.587210820040816	0.014256403306414846	-9.40506391755336
55000	-2352.401266912307	-15.356493328371164	-2337.044773583936	0.9936416901015573	1.173593625489317	0.9048131689806606	14.467773009833104	89.167009	74.69923599016688	3.0740404111850514	0.016140811848361674	-9.333064010672793
60000	-2359.2272757481983	-17.892064870816878	-2341.3352108773815	1.0225562613537071	1.5511567599491207	1.1071533475640019	14.76021935914366	89.167009	74.40678964085633	1.4969459138515937	0.013978101011079512	-11.611689663662716
65000	-2354.0059856132316	-15.625646999695062	-2338.3803386135364	0.8568303495628068	1.1035503656863286	0.9224484847504527	14.674169634755389	89.167009	74.4928393652446	4.326794876922341	0.014043064619849631	-9.560010274185789
70000	-2353.5317781857825	-15.85996689770299	-2337.6718112880794	1.046318450772196	1.3497934144767667	0.895499882202059	14.579854524350411	89.167009	74.58715447564958	3.2468776224150715	0.014533643807259173	-9.430357549153882
75000	-2351.995402347056	-15.52472919805711	-2336.4706731489987	0.8967768611066592	1.2830207679283905	0.857614640053078	14.462384242655311	89.167009	74.70462475734467	4.6755328572094195	0.015198057898278274	-9.105556212826672
80000	-2352.3189681966173	-15.478660000030368	-2336.840308196587	0.9112028454011968	1.270250076831185	0.9509584386641693	14.54719096421878	89.167009	74.61981803578121	4.209248126985328	0.015185157907554371	-9.041283013323739
85000	-2356.267802083766	-17.976206946397035	-2338.2915951373693	1.0683240916285217	1.1960085053198992	0.9253674468209643	14.668541414604617	89.167009	74.49846758539537	9.25738476901601	0.01553029353476456	-10.676078462714148
90000	-2351.6854850733607	-15.116651887261764	-2336.568833186099	0.9270536807501033	1.1328037546752103	0.8416321577889173	14.369364976543297	89.167009	74.7976440234567	1.7744785301977755	0.016885664885502878	-9.879905366058802
95000	-2354.4555798553283	-15.072857625407853	-2339.3827222299205	0.830974768024555	1.0883478539622344	0.8529253611518252	14.545893131951289	89.167009	74.6211158680487	3.8849112287606427	0.016573027953067764	-9.237839918103415
100000	-2353.40799771523	-15.086683576406532	-2338.3213141388237	0.9445438761030425	1.0523072046703954	0.7626918470893278	14.509905498427829	89.167009	74.65710350157217	2.0335480580378706	0.015090374627358837	-9.922025050191621
105000	-2351.970605622164	-14.789784163386434	-2337.1808214587777	0.8574362593001676	1.1363059791566867	0.8060451514805012	14.431656489439154	89.167009	74.73535251056084	4.0092339997263595	0.015783682372655775	-8.876585023924921
110000	-2353.556654494583	-15.35636251023055	-2338.2002919843526	1.0878654091122426	1.2347283681496433	0.9030471108260558	14.70158985334987	89.167009	74.46541914665012	3.85689493280518	0.01526932871848629	-8.868828276313751
115000	-2356.002510848538	-16.520422912678935	-2339.482087935859	1.1498812193903158	1.5360228566241831	1.012781394541345	14.67488650486922	89.167009	74.49212249513077	2.1558575807312104	0.013595469097549738	-9.850880786829894
120000	-2357.1375252374887	-16.887651972260805	-2340.249873265228	1.1435507111191523	1.196697416550361	1.1550697578786144	14.784319665383164	89.167009	74.38268933461683	5.8119324372186245	0.014259543245145747	-9.590042456736048
