SAMPLE,Evolutionary_mode,NumberMutations,MeanDepth,MutationRate_perKbs,C1,C2,C3
20,Subclonal,2271,32.001321,4.87e-05,0.442504681,0.282760529,0.198358426
23,Neutral,1880,31.97712766,9.83e-06,0.476084509,,
244,Neutral,2581,36.29407207,1.23e-05,0.446596458,,
26,Neutral,1759,33.81409892,3.31e-06,0.465960503,,
27,Neutral,1287,32.6993007,4.4e-06,0.478887304,,
277,Neutral,996,41.60341365,4.96e-05,0.41096372,,
278,Neutral,1477,31.78199052,2.46e-05,0.481228544,,
282,Neutral,2040,32.37892157,3.33e-06,0.483140234,,
283,Neutral,1197,38.27903091,2.11e-05,0.414227912,,
288,Neutral,1677,45.22301729,2.27e-06,0.468143988,,
29,Subclonal,1726,30.28215527,4.81e-06,0.477900559,0.250162473,
290,Neutral,2726,33.03668379,5.02e-06,0.473764245,,
294,Neutral,2339,39.36425823,3.1e-06,0.376896676,,
296,Subclonal,2577,31.63717501,5.97e-05,0.455274707,0.198690149,
3,Neutral,1986,28.86858006,2.78e-06,0.466795576,,
30,Neutral,2007,32.8694569,1.05e-05,0.440042625,,
306,Subclonal,1996,33.76503006,2.31e-05,0.476922401,0.3443969,
308,Neutral,2319,35.56877965,,0.448453473,,
318,Neutral,1741,32.95864446,3.62e-05,0.456923606,,
32,Neutral,1537,25.24072869,2.82e-06,0.474523253,,
33,Neutral,3471,32.41256122,2.08e-05,0.238119167,,
339,Subclonal,2807,35.42180264,3.21e-06,0.441364221,0.251338898,
342,Neutral,2038,30.26643768,3.19e-06,0.47833981,,
343,Subclonal,2038,38.33611384,4.27e-05,0.457442728,0.369437845,
356,Subclonal,1851,68.45380875,3.66e-05,0.476085561,0.398140226,
358,Neutral,2198,31.12238399,1.44e-05,0.43447361,,
367,Neutral,2665,31.40938086,3.68e-06,0.466159384,,
371,Neutral,2115,36.84728132,3.98e-05,0.49149346,,
372,Neutral,3837,26.96976805,4.19e-06,0.490581613,,
373,Neutral,3141,26.88188475,5.23e-06,0.485812874,,
386,Neutral,1984,33.86592742,3.74e-06,0.491378538,,
39,Neutral,2727,32.96149615,,0.45633974,,
393,Neutral,2084,31.43857965,6.42e-06,0.476501102,,
4,Neutral,1710,37.92280702,3.24e-06,0.449517511,,
435,Subclonal,2518,32.59015091,,0.486547051,0.241489894,
44,Subclonal,1386,31.44733045,,0.469039613,0.236996917,
442,Neutral,1982,33.13067608,,0.471345548,,
467,Neutral,3280,40.20487805,,0.434612406,,
473,Subclonal,2394,43.05304929,,0.489417323,0.235659583,
477,Neutral,3767,36.47279002,8.93e-06,0.45962055,,
48,Subclonal,1918,34.13034411,3.45e-05,0.477445486,0.339105933,
5,Neutral,1120,33.2,2.51e-05,0.449238226,,
519,Subclonal,1959,41.41194487,7.72e-06,0.479976037,0.226810756,
523,Neutral,3661,40.38077028,6.94e-05,0.490814662,,
56,Neutral,2181,33.43007795,4.36e-05,0.47639758,,
564,Neutral,1425,42.10245614,7.08e-06,0.46241922,,
577,Neutral,1876,31.80970149,5.87e-06,0.469638926,,
58,Neutral,1720,33.96162791,1.21e-05,0.455123219,,
594,Neutral,4636,37.50970664,1.32e-05,0.477123511,,
6,Neutral,2430,33.42304527,8.59e-06,0.481969655,,
60,Neutral,4897,38.87686339,7.08e-06,0.486075036,,
618,Neutral,2697,33.33073786,,0.369042198,,
628,Neutral,2330,35.6223176,4.79e-06,0.476719165,,
64,Neutral,3974,39.84121792,4.77e-06,0.441190234,,
654,Subclonal,2988,31.38922356,3.27e-06,0.478025292,0.257260322,
661,Neutral,1596,32.73621554,6.49e-06,0.471916943,,
677,Neutral,2198,32.00272975,1.88e-06,0.434216477,,
684,Neutral,1620,33.46419753,4.52e-06,0.472097243,,
723,Neutral,2526,33.53087886,4.65e-05,0.433231382,,
745,Neutral,702,30.7008547,3.29e-06,0.465835533,,
749,Neutral,972,33.11419753,2.34e-05,0.496248183,,
753,Subclonal,2568,32.44937695,4.14e-05,0.485208181,0.238276953,
761,Neutral,1619,33.98702903,4e-06,0.449368983,,
776,Neutral,2024,33.9965415,3.47e-06,0.481672706,,
783,Subclonal,1806,32.20985604,4.13e-05,0.493800363,0.221716991,
795,Subclonal,1830,33.86010929,,0.452730445,0.218670428,
802,Subclonal,2183,32.16445259,9.37e-06,0.483746565,0.22186457,
804,Neutral,3080,34.46103896,2.87e-05,0.445490721,,
82,Neutral,1422,32.11251758,1.07e-05,0.473783023,,
824,Subclonal,2624,34.37004573,6.11e-05,0.479912985,0.205584465,
83,Neutral,1400,34.36928571,2.57e-06,0.448943918,,
832,Neutral,3013,33.18884832,7.12e-06,0.467819005,,
84,Neutral,3778,38.54129169,7.48e-05,0.454005063,,
853,Neutral,1523,34.27183191,3.08e-06,0.470268545,,
862,Neutral,3018,31.05102717,1.55e-05,0.383505796,,
875,Subclonal,3550,32.63492958,0.000104091,0.420617234,0.366917182,0.226371167
880,Subclonal,3063,37.09108717,3.42e-05,0.475726307,0.238380461,
9,Neutral,1027,32.83739046,9.62e-07,0.235593411,,
90,Neutral,2887,35.31312781,,0.453346656,,
